A,Health Care,Agilent Technologies Inc
AA,Materials,Alcoa Corp
AAIC,Financials,Arlington Asset Investment Corp
AAN,Consumer Discretionary,Aaron's Company Inc
AAP,Consumer Discretionary,Advance Auto Parts Inc
AAT,Real Estate,American Assets Trust Inc
ABBV,Health Care,Abbvie Inc
ABC,Health Care,Amerisourcebergen Corp
ABEV,Consumer Staples,Ambev SA
ABG,Consumer Discretionary,Asbury Automotive Group Inc
ABM,Industrials,ABM Industries Inc
ABR,Financials,Arbor Realty Trust Inc
ABT,Health Care,Abbott Laboratories
AC,Financials,Associated Capital Group Inc
ACA,Industrials,Arcosa Inc
ACCO,Industrials,ACCO Brands Corp
ACEL,Consumer Discretionary,Accel Entertainment Inc
ACHR,Industrials,Archer Aviation Inc
ACI,Consumer Staples,Albertsons Companies Inc
ACM,Industrials,AECOM
ACN,Information Technology,Accenture PLC
ACR,Financials,Acres Commercial Realty Corp
ACRE,Financials,Ares Commercial Real Estate Corp
ADC,Real Estate,Agree Realty Corp
ADCT,Health Care,ADC Therapeutics SA
ADM,Consumer Staples,Archer-Daniels-Midland Co
ADNT,Consumer Discretionary,Adient PLC
ADT,Consumer Discretionary,ADT Inc
AEE,Utilities,Ameren Corp
AEG,Financials,Aegon NV
AEL,Financials,American Equity Investment Life Holding Co
AEM,Materials,Agnico Eagle Mines Ltd
AENZ,Industrials,Aenza SAA
AEO,Consumer Discretionary,American Eagle Outfitters Inc
AER,Industrials,AerCap Holdings NV
AES,Utilities,AES Corp
AEVA,Information Technology,Aeva Technologies Inc
AFG,Financials,American Financial Group Inc
AFL,Financials,Aflac Inc
AG,Materials,First Majestic Silver Corp
AGCO,Industrials,AGCO Corp
AGI,Materials,Alamos Gold Inc
AGL,Health Care,agilon health inc
AGM,Financials,Federal Agricultural Mortgage Corp
AGMa,Financials,Federal Agricultural Mortgage Corp
AGO,Financials,Assured Guaranty Ltd
AGR,Utilities,Avangrid Inc
AGRO,Consumer Staples,Adecoagro SA
AGS,Consumer Discretionary,PlayAGS Inc
AGTI,Health Care,Agiliti Inc
AGX,Industrials,Argan Inc
AHH,Real Estate,Armada Hoffler Properties Inc
AHT,Real Estate,Ashford Hospitality Trust Inc
AI,Information Technology,C3.ai Inc
AIG,Financials,American International Group Inc
AIN,Industrials,Albany International Corp
AIR,Industrials,AAR Corp
AIRC,Real Estate,Apartment Income REIT Corp
AIT,Industrials,Applied Industrial Technologies Inc
AIU,Consumer Discretionary,Meta Data Ltd
AIV,Real Estate,Apartment Investment and Management Co
AIZ,Financials,Assurant Inc
AJG,Financials,Arthur J. Gallagher & Co.
AJRD,Industrials,Aerojet Rocketdyne Holdings Inc
AJX,Financials,Great Ajax Corp
AKA,Consumer Discretionary,AKA Brands Holding Corp
AKOa,Consumer Staples,Embotelladora Andina SA
AKOb,Consumer Staples,Embotelladora Andina SA
AKR,Real Estate,Acadia Realty Trust
AL,Industrials,Air Lease Corp
ALB,Materials,Albemarle Corp
ALC,Health Care,Alcon AG
ALE,Utilities,ALLETE Inc
ALEX,Real Estate,Alexander & Baldwin Inc (Hawaii)
ALG,Industrials,Alamo Group Inc
ALIT,Industrials,Alight Inc
ALK,Industrials,Alaska Air Group Inc
